userId,movieId,rating,timestamp
1,47,5,964983815
1,50,5,964982931
1,70,3,964982400
1,101,5,964980868
1,110,4,964982176
1,157,5,964984100
1,163,5,964983650
1,216,5,964981208
1,223,3,964980985
1,231,5,964981179
1,260,5,964981680
1,500,3,964981208
1,608,5,964982931
1,648,3,964982563
1,943,4,964983614
1,2478,4,964984169
3,31,0,1306463578
3,1302,0,1306464189
4,21,3,986935199
4,32,2,945173447
4,45,3,986935047
4,47,2,945173425
4,52,3,964622786
4,58,3,964538444
4,106,4,986848784
4,126,1,986848920
4,176,5,964622565
4,190,2,945079259
4,215,5,945079078
4,232,5,964622684
4,247,3,986848894
4,260,5,945079259
4,265,5,964538468
4,345,4,945629063
4,608,5,964540008
4,648,3,945079906
4,904,4,945079837
4,1046,5,945173654
5,21,4,847435238
5,34,4,847434881
5,36,4,847435292
5,39,3,847434961
5,50,4,847434881
5,58,5,847435238
5,110,4,847434880
5,150,3,847434748
5,232,4,847435292
5,247,5,847435337
5,265,3,847435129
5,300,3,847435337
5,474,4,847435337
5,608,3,847435258
6,21,2,845553382
6,22,5,845553875
6,24,4,845554397
6,25,3,845553695
6,26,4,845555362
6,27,3,845555402
6,31,3,845553819
6,32,4,845553426
6,34,4,845553354
6,36,5,845553726
6,41,4,845554962
6,43,4,845555607
6,45,3,845553907
6,46,4,845554551
6,47,4,845553317
6,50,1,845553381
6,54,4,845555402
6,60,4,845554263
6,61,4,845555454
6,62,4,845553660
6,65,3,845555070
6,66,3,845555151
6,76,4,845555317
6,86,5,845556131
6,87,3,845555300
6,88,2,845555694
6,89,4,845555124
6,92,4,845555454
6,93,4,845554584
6,95,4,845553559
6,100,3,845555151
6,102,1,845555436
6,105,3,845553757
6,110,5,845553283
6,112,4,845553994
6,113,3,845556257
6,126,3,845555342
6,135,3,845554987
6,140,3,845555024
6,141,4,845553586
6,150,4,845553110
6,161,3,845553253
6,163,3,845553907
6,165,3,845553146
6,168,5,845553695
6,174,3,845554479
6,177,3,845554931
6,179,1,845555362
6,180,2,845555006
6,181,3,845553938
6,185,3,845553283
6,186,3,845553619
6,189,3,845556241
6,191,2,845554931
6,196,3,845553586
6,201,3,845556290
6,204,3,845553619
6,207,4,845554024
6,208,3,845553253
6,210,4,845556310
6,216,4,845554099
6,217,3,845555382
6,230,5,845553966
6,231,3,845553174
6,236,4,845553559
6,237,4,845553875
6,248,5,845554263
6,250,4,845555588
6,258,3,845555172
6,265,3,845553726
6,267,3,845554376
6,270,3,845555172
6,271,4,845555249
6,273,3,845553875
6,277,5,845553844
6,279,3,845555436
6,289,3,845554455
6,291,3,845555571
6,292,4,845553253
6,293,3,845553660
6,310,3,845556119
6,314,5,845554603
6,340,4,845555265
6,347,3,845555300
6,359,3,845556412
6,360,3,845555094
6,366,3,845554962
6,371,3,845554141
6,377,5,845553317
6,383,3,845554320
6,437,3,845554505
6,440,4,845553457
6,455,3,845554062
6,458,3,845555546
6,469,4,845555477
6,474,4,845553522
6,500,5,845553354
6,502,3,845554455
6,505,3,845555317
6,520,3,845553844
6,575,3,845555070
6,608,3,845553844
7,50,4,1106635993
7,58,3,1106635520
7,150,4,1106635925
7,165,4,1106635987
7,260,5,1106635933
7,648,4,1106635981
8,21,4,839463564
8,32,3,839463624
8,34,5,839463546
8,39,3,839463644
8,47,4,839463546
8,50,5,839463644
8,110,3,839463527
8,141,3,839464076
8,150,4,839463422
8,185,5,839463509
8,186,4,839463856
8,208,3,839463509
8,231,4,839463470
8,236,3,839463767
8,292,3,839463489
8,377,4,839463644
8,440,3,839463728
8,500,2,839463624
9,41,3,1044656650
9,187,3,1044657119
9,223,4,1044656650
9,371,3,1044656716
11,36,4,902155135
11,44,2,902154593
11,95,3,902154458
11,110,5,902154266
11,150,5,902154266
11,165,3,902154567
11,208,3,902154706
11,292,4,902154383
11,377,3,902154431
11,474,4,902154431
11,648,4,902154514
12,39,4,1247264471
12,168,5,1247264411
12,277,3,1247263371
13,47,5,987895819
14,25,4,835441394
14,32,4,835441168
14,39,3,835441186
14,47,5,835441133
14,95,5,835441295
14,105,3,835441371
14,110,5,835441107
14,150,4,835440977
14,231,3,835441042
14,377,3,835441328
14,383,4,835441729
14,455,3,835441812
15,44,1,1299424916
15,47,4,1510571970
15,260,5,1510571946
15,293,3,1510571962
16,47,4,1377477814
16,50,4,1377476781
16,111,4,1377477446
16,204,2,1377476617
16,260,3,1377476936
16,293,4,1377477870
16,608,4,1377477406
16,904,4,1377476805
16,1260,4,1377476887
17,44,4,1305696245
17,47,4,1307262715
17,50,4,1305697013
17,110,4,1305696470
17,111,4,1326943208
17,150,4,1305696497
17,260,5,1305696468
17,293,4,1307262308
17,904,4,1307262274
18,32,4,1455209840
18,34,2,1455617533
18,36,4,1455617478
18,47,4,1455050013
18,50,5,1455049343
18,70,4,1455735732
18,110,4,1455050170
18,111,4,1458516249
18,163,4,1455748933
18,165,4,1455209902
18,180,4,1455617692
18,208,3,1455617516
18,223,4,1455617470
18,231,2,1455748462
18,260,4,1455049368
18,293,4,1455050049
18,377,2,1455209879
18,500,4,1455618095
18,502,2,1456864767
18,608,4,1455050069
18,648,3,1455209873
18,904,4,1455050080
18,1260,4,1455059781
19,32,4,965703646
19,34,4,965705661
19,44,3,965710019
19,47,3,965710720
19,48,1,965709172
19,54,2,965702660
19,64,2,965708037
19,65,2,965708217
19,70,2,965704974
19,87,2,965708059
19,92,2,965712048
19,102,1,965708653
19,107,2,965706886
